ą,ɔ̃ w̃
podwrocławski,p ɔ d v r ɔ t͡s ˈ w a f s ʲ c i
podwyżka,p ɔ d ˈ v ɨ ʂ k a
podwyższanie,p ɔ d v ɨ ʂ ˈ ã ɲ ɛ
podwójny,p ɔ ˈ d v u j n ɨ
podwórko,p ɔ d ˈ v u r k ɔ
podwórze,p ɔ d ˈ v u ʐ ɛ
podwładny,p ɔ d ˈ v w a d n ɨ
podwłocławski,p ɔ d v w ɔ t͡s ˈ w a f s ʲ c i
podymne,p ɔ ˈ d ɨ m n ɛ
podyplomowy,p ɔ d ɨ p l ɔ̃ ˈ m ɔ v ɨ
podzabrzański,p ɔ d z a ˈ b ʐ ã j̃ s ʲ c i
podzamojski,p ɔ d z ã ˈ m ɔ j s ʲ c i
podziać,ˈ p ɔ d͡ʑ æ t͡ɕ
podział,ˈ p ɔ d͡ʑ a w
podziałkować,p ɔ d͡ʑ a w ˈ k ɔ v a t͡ɕ
podzielenie,p ɔ d͡ʑ ɛ ˈ l ɛ̃ ɲ ɛ
podzielić,p ɔ ˈ d͡ʑ ɛ l ʲ i t͡ɕ
podzielonogórski,p ɔ d͡ʑ ɛ l ɔ̃ n ɔ ˈ ɡ u r s ʲ c i
podzielony,p ɔ d͡ʑ ɛ ˈ l ɔ̃ n ɨ
podziemie,p ɔ d ʲ ˈ ʑ ɛ̃ m ʲ j ɛ
podziemny,p ɔ d ʲ ˈ ʑ ɛ̃ m n ɨ
podziewanie,p ɔ d͡ʑ ɛ ˈ v ã ɲ ɛ
podziewać,p ɔ ˈ d͡ʑ ɛ v a t͡ɕ
podziw,ˈ p ɔ d͡ʑ i f
podziwiać,p ɔ ˈ d͡ʑ i v ʲ j æ t͡ɕ
podziękowanie,p ɔ d͡ʑ ɛ̃ ŋ k ɔ ˈ v ã ɲ ɛ
podówczas,p ɔ d ˈ u f t͡ʂ a s
poegzaminacyjny,p ɔ ɛ ɡ z ã m ʲ i n a ˈ t͡s ɨ j n ɨ
poeta,p ɔ ˈ ɛ t a
poetka,p ɔ ˈ ɛ t k a
poetycki,p ɔ ɛ ˈ t ɨ t͡s ʲ c i
poetycko,p ɔ ɛ ˈ t ɨ t͡s k ɔ
poetyckość,p ɔ ɛ ˈ t ɨ t͡s k ɔ ɕ t͡ɕ
poetyzm,p ɔ ˈ ɛ t ɨ s m̥
poezja,p ɔ ˈ ɛ z ʲ j a
pofatygować,p ɔ f a t ɨ ˈ ɡ ɔ v a t͡ɕ
pofestiwalowy,p ɔ f ɛ s t ʲ i v a ˈ l ɔ v ɨ
poganin,p ɔ ˈ ɡ ã ɲ i n
poganka,p ɔ ˈ ɡ ã n k a
pogarda,p ɔ ˈ ɡ a r d a
pogardliwie,p ɔ ɡ a r ˈ d l ʲ i v ʲ j ɛ
pogardliwy,p ɔ ɡ a r ˈ d l ʲ i v ɨ
pogawędka,p ɔ ɡ a ˈ v ɛ̃ n t k a
pogański,p ɔ ˈ ɡ ã j̃ s ʲ c i
pogaństwo,p ɔ ˈ ɡ ã j̃ s t f ɔ
pogląd,ˈ p ɔ ɡ l ɔ̃ n t
poglądowy,p ɔ ɡ l ɔ̃ n ˈ d ɔ v ɨ
pogoda,p ɔ ˈ ɡ ɔ d a
pogodny,p ɔ ˈ ɡ ɔ d n ɨ
pogodynek,p ɔ ɡ ɔ ˈ d ɨ n ɛ k
pogodynka,p ɔ ɡ ɔ ˈ d ɨ n k a
pogonia,p ɔ ˈ ɡ ɔ̃ ɲ a
pogorzelica,p ɔ ɡ ɔ ʐ ɛ ˈ l ʲ i t͡s a
pogorzelisko,p ɔ ɡ ɔ ʐ ɛ ˈ l ʲ i s k ɔ
pogotowie,p ɔ ɡ ɔ ˈ t ɔ v ʲ j ɛ
pogoń,ˈ p ɔ ɡ ɔ̃ ɲ
pogranicze,p ɔ ɡ r ã ˈ ɲ i t͡ʂ ɛ
pogrobowiec,p ɔ ɡ r ɔ ˈ b ɔ v ʲ j ɛ t͡s
pogrom,ˈ p ɔ ɡ r ɔ̃ m
pogryzienie,p ɔ ɡ r ɨ ˈ ʑ ɛ̃ ɲ ɛ
pogrzeb,ˈ p ɔ ɡ ʐ ɛ p
pogrzebowy,p ɔ ɡ ʐ ɛ ˈ b ɔ v ɨ
pogróżka,p ɔ ˈ ɡ r u ʂ k a
pogrążać,p ɔ ˈ ɡ r ɔ̃ w̃ ʐ a t͡ɕ
pogrążyć,p ɔ ˈ ɡ r ɔ̃ w̃ ʐ ɨ t͡ɕ
pogórze,p ɔ ˈ ɡ u ʐ ɛ
pogębek,p ɔ ˈ ɡ ɛ̃ m b ɛ k
pogłoska,p ɔ ˈ ɡ w ɔ s k a
pogłówne,p ɔ ˈ ɡ w u v n ɛ
poimek,p ɔ ˈ s u p j s u p i m ɛ k
pointer,ˈ p ɔ j n t ɛ r
poić,ˈ p ɔ s u p j s u p i t͡ɕ
pojagielloński,p ɔ j æ ɡ ʲ ɛ l ˈ ɔ̃ j̃ s ʲ c i
pojawianie,p ɔ j a ˈ v ʲ j a ɲ ɛ
pojawienie,p ɔ j a ˈ v ʲ j ɛ̃ ɲ ɛ
pojazd,ˈ p ɔ j a s t
pojeb,ˈ p ɔ j ɛ p
pojebany,p ɔ j ɛ ˈ b ã n ɨ
pojebać,p ɔ ˈ j ɛ b a t͡ɕ
pojebus,p ɔ ˈ j ɛ b u s
pojechanie,p ɔ j ɛ ˈ x ã ɲ ɛ
pojechać,p ɔ ˈ j ɛ x a t͡ɕ
pojedynczo,p ɔ j ɛ ˈ d ɨ ɲ t͡ʂ ɔ
pojedynczy,p ɔ j ɛ ˈ d ɨ ɲ t͡ʂ ɨ
pojemnik,p ɔ ˈ j ɛ̃ m ʲ ɲ i k
pojemność,p ɔ ˈ j ɛ̃ m n ɔ ɕ t͡ɕ
pojemny,p ɔ ˈ j ɛ̃ m n ɨ
pojezierze,p ɔ j ɛ ˈ ʑ ɛ ʐ ɛ
pojmować,p ɔ j ˈ m ɔ v a t͡ɕ
pojutrze,p ɔ ˈ j u ṭ ʂ ɛ
pojęcie,p ɔ ˈ j ɛ̃ ɲ t͡ɕ ɛ
pojętny,p ɔ ˈ j ɛ̃ n t n ɨ
pok,p ɔ k
pokal,ˈ p ɔ k a l
pokaranie,p ɔ k a ˈ r ã ɲ ɛ
pokarać,p ɔ ˈ k a r a t͡ɕ
pokarm,ˈ p ɔ k a r m
pokaz,ˈ p ɔ k a s
pokazanie,p ɔ k a ˈ z ã ɲ ɛ
pokazać,p ɔ ˈ k a z a t͡ɕ
pokazywanie,p ɔ k a z ɨ ˈ v ã ɲ ɛ
pokazywać,p ɔ k a ˈ z ɨ v a t͡ɕ
pokaźny,p ɔ ˈ k a ʑ n ɨ
poker,ˈ p ɔ k ɛ r
poklatkowo,p ɔ k l a t ˈ k ɔ v ɔ
poklatkowy,p ɔ k l a t ˈ k ɔ v ɨ
pokląskwa,p ɔ ˈ k l ɔ̃ w̃ s k f a
pokojowa,p ɔ k ɔ ˈ j ɔ v a
pokojowo,p ɔ k ɔ ˈ j ɔ v ɔ
pokojowy,p ɔ k ɔ ˈ j ɔ v ɨ
pokojóweczka,p ɔ k ɔ j u ˈ v ɛ t͡ʂ k a
pokojówka,p ɔ k ɔ ˈ j u f k a
pokolenie,p ɔ k ɔ ˈ l ɛ̃ ɲ ɛ
pokonać,p ɔ ˈ k ɔ̃ n a t͡ɕ
pokoncertowy,p ɔ k ɔ̃ n t͡s ɛ r ˈ t ɔ v ɨ
pokonywać,p ɔ k ɔ̃ ˈ n ɨ v a t͡ɕ
pokora,p ɔ ˈ k ɔ r a
pokorniutki,p ɔ k ɔ r ʲ ˈ ɲ u t ʲ c i
pokost,ˈ p ɔ k ɔ s t
pokraka,p ɔ ˈ k r a k a
pokrewieństwo,p ɔ k r ɛ ˈ v ʲ j ɛ̃ j̃ s t f ɔ
pokrewny,p ɔ ˈ k r ɛ v n ɨ
pokrywa,p ɔ ˈ k r ɨ v a
pokrywanie,p ɔ k r ɨ ˈ v ã ɲ ɛ
pokrywać,p ɔ ˈ k r ɨ v a t͡ɕ
pokryć,ˈ p ɔ k r ɨ t͡ɕ
pokrzewka,p ɔ ˈ k ʂ ɛ f k a
pokrzywa,p ɔ ˈ k ʂ ɨ v a
pokrzywka,p ɔ ˈ k ʂ ɨ f k a
pokrótce,p ɔ ˈ k r u t t͡s ɛ
pokrętło,p ɔ ˈ k r ɛ̃ n t w ɔ
pokusa,p ɔ ˈ k u s a
pokuta,p ɔ ˈ k u t a
pokutnica,p ɔ k u t ʲ ˈ ɲ i t͡s a
pokutnik,p ɔ ˈ k u t ʲ ɲ i k
pokutny,p ɔ ˈ k u t n ɨ
pokutować,p ɔ k u ˈ t ɔ v a t͡ɕ
pokwitowanie,p ɔ k f ʲ i t ɔ ˈ v ã ɲ ɛ
pokój,ˈ p ɔ k u j
pokątnie,p ɔ ˈ k ɔ̃ n t ʲ ɲ ɛ
pokład,ˈ p ɔ k w a t
pokłon,ˈ p ɔ k w ɔ̃ n
pokłosie,p ɔ ˈ k w ɔ ɕ ɛ
pokłócić,p ɔ ˈ k w u t͡ɕ i t͡ɕ
polędwica,p ɔ l ɛ̃ n d ˈ v ʲ i t͡s a
polędwicowy,p ɔ l ɛ̃ n d v ʲ i ˈ t͡s ɔ v ɨ
pola,ˈ p ɔ l a
polaczek,p ɔ ˈ l a t͡ʂ ɛ k
polaj,ˈ p ɔ l a j
polak,ˈ p ɔ l a k
polakożerstwo,p ɔ l a k ɔ ˈ ʐ ɛ r s t f ɔ
polana,p ɔ ˈ l ã n a
polanica,p ɔ l ã ˈ ɲ i t͡s a
polanica-zdrój,p ɔ l ã ɲ i ˈ t͡s a z d r u j
polanie,p ɔ ˈ l ã ɲ ɛ
polanka,p ɔ ˈ l ã n k a
polanko,p ɔ ˈ l ã n k ɔ
polano,p ɔ ˈ l ã n ɔ
polanów,p ɔ ˈ l ã n u f
polar,ˈ p ɔ l a r
polarnik,p ɔ ˈ l a r ʲ ɲ i k
polarny,p ɔ ˈ l a r n ɨ
polatucha,p ɔ l a ˈ t u x a
poldek,ˈ p ɔ l d ɛ k
polder,ˈ p ɔ l d ɛ r
pole,ˈ p ɔ l ɛ
polec,ˈ p ɔ l ɛ t͡s
polecać,p ɔ ˈ l ɛ t͡s a t͡ɕ
polecenie,p ɔ l ɛ ˈ t͡s ɛ̃ ɲ ɛ
polecieć,p ɔ ˈ l ɛ t͡ɕ ɛ t͡ɕ
polecić,p ɔ ˈ l ɛ t͡ɕ i t͡ɕ
polecony,p ɔ l ɛ ˈ t͡s ɔ̃ n ɨ
poleczka,p ɔ ˈ l ɛ t͡ʂ k a
poleganie,p ɔ l ɛ ˈ ɡ ã ɲ ɛ
polegać,p ɔ ˈ l ɛ ɡ a t͡ɕ
polemika,p ɔ ˈ l ɛ̃ m ʲ i k a
polemista,p ɔ l ɛ̃ ˈ m ʲ i s t a
polepszać,p ɔ ˈ l ɛ p ʂ a t͡ɕ
polepszenie,p ɔ l ɛ ˈ p ʂ ɛ̃ ɲ ɛ
polerować,p ɔ l ɛ ˈ r ɔ v a t͡ɕ
poleski,p ɔ ˈ l ɛ s ʲ c i
polewa,p ɔ ˈ l ɛ v a
polewać,p ɔ ˈ l ɛ v a t͡ɕ
polewka,p ɔ ˈ l ɛ f k a
poliamoria,p ɔ l ʲ i s u p j s u p ã ˈ m ɔ r ʲ j a
poliandria,p ɔ l ʲ i ˈ s u p j s u p ã n d r ʲ j a
polibuda,p ɔ l ʲ i ˈ b u d a
police,p ɔ ˈ l ʲ i t͡s ɛ
policja,p ɔ ˈ l ʲ i t͡s ʲ j a
policjant,p ɔ ˈ l ʲ i t͡s ʲ j ã n t
policjantka,p ɔ l ʲ i ˈ t͡s ʲ j ã n t k a
policyjny,p ɔ l ʲ i ˈ t͡s ɨ j n ɨ
policzanin,p ɔ l ʲ i ˈ t͡ʂ ã ɲ i n
policzanka,p ɔ l ʲ i ˈ t͡ʂ ã n k a
policzek,p ɔ ˈ l ʲ i t͡ʂ ɛ k
policzenie,p ɔ l ʲ i ˈ t͡ʂ ɛ̃ ɲ ɛ
policzyć,p ɔ ˈ l ʲ i t͡ʂ ɨ t͡ɕ
poligamia,p ɔ l ʲ i ˈ ɡ ã m ʲ j a
poliginia,p ɔ l ʲ i ˈ ɡ ʲ i ɲ j a
poliginiczny,p ɔ l ʲ i ɡ ʲ i ˈ ɲ i t͡ʂ n ɨ
poliglota,p ɔ l ʲ i ˈ ɡ l ɔ t a
poligon,p ɔ ˈ l ʲ i ɡ ɔ̃ n
poligraf,p ɔ ˈ l ʲ i ɡ r a f
poligrafia,p ɔ l ʲ i ˈ ɡ r a f ʲ j a
poligynia,p ɔ l ʲ i ˈ ɡ ɨ ɲ j a
polihymnia,p ɔ l ʲ i ˈ x ɨ m ʲ ɲ j a
polikarp,p ɔ ˈ l ʲ i k a r p
polimeryzacja,p ɔ l ʲ i m ɛ r ɨ ˈ z a t͡s ʲ j a
polinezja,p ɔ l ʲ i ˈ n ɛ z ʲ j a
polio,ˈ p ɔ l ʲ j ɔ
polip,ˈ p ɔ l ʲ i p
polipektomia,p ɔ l ʲ i p ɛ k ˈ t ɔ̃ m ʲ j a
polisacharyd,p ɔ l ʲ i s a ˈ x a r ɨ t
polistyren,p ɔ l ʲ i ˈ s t ɨ r ɛ̃ n
poliszynel,p ɔ l ʲ i ˈ ʂ ɨ n ɛ l
politechnika,p ɔ l ʲ i ˈ t ɛ ɣ ɲ i k a
politeista,p ɔ l ʲ i t ɛ ˈ s u p j s u p i s t a
politeistyczny,p ɔ l ʲ i t ɛ s u p j s u p i ˈ s t ɨ t͡ʂ n ɨ
politeizm,p ɔ l ʲ i ˈ t ɛ s u p j s u p i s m̥
politologia,p ɔ l ʲ i t ɔ ˈ l ɔ ɡ ʲ j a
politologiczny,p ɔ l ʲ i t ɔ l ɔ ˈ ɡ ʲ i t͡ʂ n ɨ
politruk,p ɔ ˈ l ʲ i t r u k
polityczka,p ɔ l ʲ i ˈ t ɨ t͡ʂ k a
polityczny,p ɔ l ʲ i ˈ t ɨ t͡ʂ n ɨ
polityk,p ɔ ˈ l ʲ i t ɨ k
polityka,p ɔ ˈ l ʲ i t ɨ k a
politykier,p ɔ l ʲ i ˈ t ɨ c ɛ r
politykierstwo,p ɔ l ʲ i t ɨ ˈ c ɛ r s t f ɔ
polka,ˈ p ɔ l k a
polkowice,p ɔ l k ɔ ˈ v ʲ i t͡s ɛ
polkowicki,p ɔ l k ɔ ˈ v ʲ i t͡s ʲ c i
polkowiczanin,p ɔ l k ɔ v ʲ i ˈ t͡ʂ ã ɲ i n
polkowiczanka,p ɔ l k ɔ v ʲ i ˈ t͡ʂ ã n k a
polny,ˈ p ɔ l n ɨ
polo,ˈ p ɔ l ɔ
polodowcowy,p ɔ l ɔ d ɔ f ˈ t͡s ɔ v ɨ
polon,ˈ p ɔ l ɔ̃ n
polonez,p ɔ ˈ l ɔ̃ n ɛ s
polonia,p ɔ ˈ l ɔ̃ ɲ j a
polonika,p ɔ ˈ l ɔ̃ ɲ i k a
polonista,p ɔ l ɔ̃ ˈ ɲ i s t a
polonistka,p ɔ l ɔ̃ ˈ ɲ i s t k a
polonistyka,p ɔ l ɔ̃ ˈ ɲ i s t ɨ k a
polonizm,p ɔ ˈ l ɔ̃ ɲ i s m̥
polonofil,p ɔ l ɔ̃ ˈ n ɔ f ʲ i l
polor,ˈ p ɔ l ɔ r
polowanie,p ɔ l ɔ ˈ v ã ɲ ɛ
polować,p ɔ ˈ l ɔ v a t͡ɕ
polska,ˈ p ɔ l s k a
polskawy,p ɔ l ˈ s k a v ɨ
polski,ˈ p ɔ l s ʲ c i
polskojęzyczny,p ɔ l s k ɔ j ɛ̃ w̃ ˈ z ɨ t͡ʂ n ɨ
polskość,ˈ p ɔ l s k ɔ ɕ t͡ɕ
polszczyzna,p ɔ l ˈ ʂ t͡ʂ ɨ z n a
polubowny,p ɔ l u ˈ b ɔ v n ɨ
polucja,p ɔ ˈ l u t͡s ʲ j a
pomaganie,p ɔ̃ m a ˈ ɡ ã ɲ ɛ
pomagać,p ɔ̃ ˈ m a ɡ a t͡ɕ
pomagier,p ɔ̃ ˈ m a ɡ ʲ ɛ r
pomalować,p ɔ̃ m a ˈ l ɔ v a t͡ɕ
pomalutku,p ɔ̃ m a ˈ l u t k u
pomarańcz,p ɔ̃ ˈ m a r ã j̃ ɲ t͡ʂ
pomarańcza,p ɔ̃ m a ˈ r ã j̃ ɲ t͡ʂ a
pomarańczowawy,p ɔ̃ m a r ã j̃ ɲ t͡ʂ ɔ ˈ v a v ɨ
pomarańczowobrązowy,p ɔ̃ m a r ã j̃ ɲ t͡ʂ ɔ v ɔ b r ɔ̃ w̃ ˈ z ɔ v ɨ
pomarańczowoczerwony,p ɔ̃ m a r ã j̃ ɲ t͡ʂ ɔ v ɔ t͡ʂ ɛ r ˈ v ɔ̃ n ɨ
pomarańczowogłowy,p ɔ̃ m a r ã j̃ ɲ t͡ʂ ɔ v ɔ ˈ ɡ w ɔ v ɨ
pomarańczowopióry,p ɔ̃ m a r ã j̃ ɲ t͡ʂ ɔ v ɔ ˈ p ʲ j u r ɨ
pomarańczowordzawy,p ɔ̃ m a r ã j̃ ɲ t͡ʂ ɔ v ɔ ˈ r d͡z a v ɨ
pomarańczowoskrzydły,p ɔ̃ m a r ã j̃ ɲ t͡ʂ ɔ v ɔ ˈ s k ʂ ɨ d w ɨ
pomarańczowożółty,p ɔ̃ m a r ã j̃ ɲ t͡ʂ ɔ v ɔ ˈ ʐ u w t ɨ
pomarańczowy,p ɔ̃ m a r ã j̃ ɲ ˈ t͡ʂ ɔ v ɨ
pomarańczówka,p ɔ̃ m a r ã j̃ ɲ ˈ t͡ʂ u f k a
pomeczowy,p ɔ̃ m ɛ ˈ t͡ʂ ɔ v ɨ
pomelo,p ɔ̃ ˈ m ɛ l ɔ
pomenopauzalny,p ɔ̃ m ɛ̃ n ɔ p a w ˈ z a l n ɨ
pomiar,ˈ p ɔ̃ m ʲ j a r
pomiatanie,p ɔ̃ m ʲ j a ˈ t ã ɲ ɛ
pomiatać,p ɔ̃ ˈ m ʲ j a t a t͡ɕ
pomidor,p ɔ̃ ˈ m ʲ i d ɔ r
pomidorowy,p ɔ̃ m ʲ i d ɔ ˈ r ɔ v ɨ
pomidorówka,p ɔ̃ m ʲ i d ɔ ˈ r u f k a
pomierny,p ɔ̃ ˈ m ʲ j ɛ r n ɨ
pomieszczenie,p ɔ̃ m ʲ j ɛ ʂ ˈ t͡ʂ ɛ̃ ɲ ɛ
pomietlisko,p ɔ̃ m ʲ j ɛ ˈ t l ʲ i s k ɔ
pomijanie,p ɔ̃ m ʲ i ˈ j a ɲ ɛ
pomijać,p ɔ̃ ˈ m ʲ i j æ t͡ɕ
pomimo,p ɔ̃ ˈ m ʲ i m ɔ
pominąć,p ɔ̃ ˈ m ʲ i n ɔ̃ ɲ t͡ɕ
pomiędzy,p ɔ̃ ˈ m ʲ j ɛ̃ n d͡z ɨ
pomknąć,ˈ p ɔ̃ m k n ɔ̃ ɲ t͡ɕ
pomnik,ˈ p ɔ̃ m ʲ ɲ i k
pomoc,ˈ p ɔ̃ m ɔ t͡s
pomocne,p ɔ̃ ˈ m ɔ t͡s n ɛ
pomocniczo,p ɔ̃ m ɔ t͡s ʲ ˈ ɲ i t͡ʂ ɔ
pomocniczy,p ɔ̃ m ɔ t͡s ʲ ˈ ɲ i t͡ʂ ɨ
pomocnik,p ɔ̃ ˈ m ɔ t͡s ʲ ɲ i k
pomocny,p ɔ̃ ˈ m ɔ t͡s n ɨ
pomocy,p ɔ̃ ˈ m ɔ t͡s ɨ
pomordować,p ɔ̃ m ɔ r ˈ d ɔ v a t͡ɕ
pomorek,p ɔ̃ ˈ m ɔ r ɛ k
pomorski,p ɔ̃ ˈ m ɔ r s ʲ c i
pomorzanin,p ɔ̃ m ɔ ˈ ʐ ã ɲ i n
pomorzanka,p ɔ̃ m ɔ ˈ ʐ ã ŋ k a
pomorze,p ɔ̃ ˈ m ɔ ʐ ɛ
pomost,ˈ p ɔ̃ m ɔ s t
pomostówka,p ɔ̃ m ɔ ˈ s t u f k a
pomożenie,p ɔ̃ m ɔ ˈ ʐ ɛ̃ ɲ ɛ
pompa,ˈ p ɔ̃ m p a
pompierski,p ɔ̃ m ˈ p ʲ j ɛ r s ʲ c i
pompka,ˈ p ɔ̃ m p k a
pompon,ˈ p ɔ̃ m p ɔ̃ n
pomponowy,p ɔ̃ m p ɔ̃ ˈ n ɔ v ɨ
pomrzeć,ˈ p ɔ̃ m ʐ ɛ t͡ɕ
pomstwa,ˈ p ɔ̃ m s t f a
pomurnik,p ɔ̃ ˈ m u r ʲ ɲ i k
pomylić,p ɔ̃ ˈ m ɨ l ʲ i t͡ɕ
pomysłodawca,p ɔ̃ m ɨ s w ɔ ˈ d a f t͡s a
pomysłodawczyni,p ɔ̃ m ɨ s w ɔ d a f ˈ t͡ʂ ɨ ɲ i
pomysłowo,p ɔ̃ m ɨ ˈ s w ɔ v ɔ
pomysłowość,p ɔ̃ m ɨ ˈ s w ɔ v ɔ ɕ t͡ɕ
pomysłowy,p ɔ̃ m ɨ ˈ s w ɔ v ɨ
pomyłka,p ɔ̃ ˈ m ɨ w k a
pomyślenie,p ɔ̃ m ɨ ɕ ˈ l ɛ̃ ɲ ɛ
pomyśleć,p ɔ̃ ˈ m ɨ ɕ l ɛ t͡ɕ
pomyślunek,p ɔ̃ m ɨ ɕ ˈ l ũ n ɛ k
pomóc,ˈ p ɔ̃ m u t͡s
ponad,ˈ p ɔ̃ n a t
ponadczasowy,p ɔ̃ n a ṭ t͡ʂ a ˈ s ɔ v ɨ
ponaddźwiękowy,p ɔ̃ n a d ʲ d͡ʑ v ʲ j ɛ̃ ŋ ˈ k ɔ v ɨ
ponadgimnazjalny,p ɔ̃ n a d ʲ ɡ ʲ i m n a ˈ z ʲ j a l n ɨ
ponadkulturowy,p ɔ̃ n a t k u l t u ˈ r ɔ v ɨ
ponadnarodowy,p ɔ̃ n a d n a r ɔ ˈ d ɔ v ɨ
ponadprzeciętnie,p ɔ̃ n a t p ʂ ɛ ˈ t͡ɕ ɛ̃ n t ʲ ɲ ɛ
ponawianie,p ɔ̃ n a ˈ v ʲ j a ɲ ɛ
ponawiać,p ɔ̃ ˈ n a v ʲ j æ t͡ɕ
ponczo,ˈ p ɔ̃ ɲ t͡ʂ ɔ
poniedziałek,p ɔ̃ ɲ ɛ ˈ d͡ʑ a w ɛ k
poniedziałkowy,p ɔ̃ ɲ ɛ d͡ʑ a w ˈ k ɔ v ɨ
ponieważ,p ɔ̃ ˈ ɲ ɛ v a ʂ
poniewczasie,p ɔ̃ ɲ ɛ ˈ f t͡ʂ a ɕ ɛ
ponikło,p ɔ̃ ˈ ɲ i k w ɔ
poniter,p ɔ̃ ˈ ɲ i t ɛ r
poniżej,p ɔ̃ ˈ ɲ i ʐ ɛ j
poniżyć,p ɔ̃ ˈ ɲ i ʐ ɨ t͡ɕ
pono,ˈ p ɔ̃ n ɔ
ponor,ˈ p ɔ̃ n ɔ r
ponowa,p ɔ̃ ˈ n ɔ v a
ponowić,p ɔ̃ ˈ n ɔ v ʲ i t͡ɕ
ponownie,p ɔ̃ ˈ n ɔ v ʲ ɲ ɛ
ponowny,p ɔ̃ ˈ n ɔ v n ɨ
ponowoczesny,p ɔ̃ n ɔ v ɔ ˈ t͡ʂ ɛ s n ɨ
ponoć,ˈ p ɔ̃ n ɔ t͡ɕ
pons,p ɔ̃ w̃ s
ponso,ˈ p ɔ̃ w̃ s ɔ
ponsowienie,p ɔ̃ w̃ s ɔ ˈ v ʲ j ɛ̃ ɲ ɛ
ponsowieć,p ɔ̃ w̃ ˈ s ɔ v ʲ j ɛ t͡ɕ
ponsowo,p ɔ̃ w̃ ˈ s ɔ v ɔ
ponsowy,p ɔ̃ w̃ ˈ s ɔ v ɨ
ponton,ˈ p ɔ̃ n t ɔ̃ n
pontyfikat,p ɔ̃ n t ɨ ˈ f ʲ i k a t
pontyfikał,p ɔ̃ n t ɨ ˈ f ʲ i k a w
ponumerowanie,p ɔ̃ n ũ m ɛ r ɔ ˈ v ã ɲ ɛ
ponurak,p ɔ̃ ˈ n u r a k
ponuro,p ɔ̃ ˈ n u r ɔ
ponury,p ɔ̃ ˈ n u r ɨ
pop,p ɔ p
popamiętać,p ɔ p ã ˈ m ʲ j ɛ̃ n t a t͡ɕ
poparcie,p ɔ ˈ p a r ʲ t͡ɕ ɛ
popatrzeć,p ɔ ˈ p a ṭ ʂ ɛ t͡ɕ
popelina,p ɔ p ɛ ˈ l ʲ i n a
popielatoczarny,p ɔ p ʲ j ɛ l a t ɔ ˈ t͡ʂ a r n ɨ
popielatoniebieski,p ɔ p ʲ j ɛ l a t ɔ̃ ɲ ɛ ˈ b ʲ j ɛ s ʲ c i
popielatosrebrzysty,p ɔ p ʲ j ɛ l a t ɔ s r ɛ ˈ b ʐ ɨ s t ɨ
popielatoszary,p ɔ p ʲ j ɛ l a t ɔ ˈ ʂ a r ɨ
popielatożółty,p ɔ p ʲ j ɛ l a t ɔ ˈ ʐ u w t ɨ
popielaty,p ɔ p ʲ j ɛ ˈ l a t ɨ
popielcowy,p ɔ p ʲ j ɛ l ˈ t͡s ɔ v ɨ
popielec,p ɔ ˈ p ʲ j ɛ l ɛ t͡s
popielnica,p ɔ p ʲ j ɛ l ʲ ˈ ɲ i t͡s a
popielniczka,p ɔ p ʲ j ɛ l ʲ ˈ ɲ i t͡ʂ k a
popieprzyć,p ɔ ˈ p ʲ j ɛ p ʂ ɨ t͡ɕ
popieranie,p ɔ p ʲ j ɛ ˈ r ã ɲ ɛ
popierać,p ɔ ˈ p ʲ j ɛ r a t͡ɕ
popierdolony,p ɔ p ʲ j ɛ r d ɔ ˈ l ɔ̃ n ɨ
popiersie,p ɔ ˈ p ʲ j ɛ r ʲ ɕ ɛ
popioły,p ɔ ˈ p ʲ j ɔ w ɨ
popis,ˈ p ɔ p ʲ i s
popiskiwać,p ɔ p ʲ i ˈ s ʲ c i v a t͡ɕ
popiwek,p ɔ ˈ p ʲ i v ɛ k
popiół,ˈ p ɔ p ʲ j u w
popołudnie,p ɔ p ɔ ˈ w u d ʲ ɲ ɛ
popołudniowy,p ɔ p ɔ w u d ʲ ˈ ɲ ɔ v ɨ
popołudniówka,p ɔ p ɔ w u d ʲ ˈ ɲ u f k a
poprawa,p ɔ ˈ p r a v a
poprawczak,p ɔ ˈ p r a f t͡ʂ a k
poprawianie,p ɔ p r a ˈ v ʲ j a ɲ ɛ
poprawiać,p ɔ ˈ p r a v ʲ j æ t͡ɕ
poprawienie,p ɔ p r a ˈ v ʲ j ɛ̃ ɲ ɛ
poprawić,p ɔ ˈ p r a v ʲ i t͡ɕ
poprawnie,p ɔ ˈ p r a v ʲ ɲ ɛ
poprawny,p ɔ ˈ p r a v n ɨ
poprosić,p ɔ ˈ p r ɔ ɕ i t͡ɕ
poprzeczka,p ɔ ˈ p ʂ ɛ t͡ʂ k a
poprzeczny,p ɔ ˈ p ʂ ɛ t͡ʂ n ɨ
poprzedni,p ɔ ˈ p ʂ ɛ d ʲ ɲ i
poprzednio,p ɔ ˈ p ʂ ɛ d ʲ ɲ ɔ
poprzedzać,p ɔ ˈ p ʂ ɛ d͡z a t͡ɕ
poprzez,ˈ p ɔ p ʂ ɛ s
poprzeć,ˈ p ɔ p ʂ ɛ t͡ɕ
popręg,ˈ p ɔ p r ɛ̃ ŋ k
popsować,p ɔ ˈ p s ɔ v a t͡ɕ
populacja,p ɔ p u ˈ l a t͡s ʲ j a
popularność,p ɔ p u ˈ l a r n ɔ ɕ t͡ɕ
popularny,p ɔ p u ˈ l a r n ɨ
