čač,t͡ʃ a t͡ʃ
onomaziologický,ɔ n ɔ m a z ɪ ɔ l ɔ ɡ ɪ t͡s k iː
onomaziologie,ɔ n ɔ m a z ɪ ɔ l ɔ ɡ ɪ ɛ
ontario,ɔ n t aː r ɪ ɔ
ontogeneze,ɔ n t ɔ ɡ ɛ n ɛ z ɛ
ontologie,ɔ n t ɔ l ɔ ɡ ɪ j ɛ
onuce,ɔ n ʊ t͡s ɛ
ony,ɔ n ɪ
onyx,ɔ n ɪ k s
onyxový,ɔ n ɪ k s ɔ v iː
oněměl,ˈ ʔ ɔ ɲ ɛ m ɲ ɛ l
oo,ʔ ɔː
opěrný,ɔ p j ɛ r n iː
opět,ɔ p j ɛ t
opětovné,ɔ p j ɛ t ɔ v n ɛː
opětovně,ɔ p j ɛ t ɔ v ɲ ɛ
op,ˈ ʔ ɔ p
opa,ˈ ʔ ɔ p a
opadavý,ɔ p a d a v iː
opak,ɔ p a k
opakoval,ɔ p a k ɔ v a l
opakované,ɔ p a k ɔ v a n ɛː
opakovaný,ɔ p a k ɔ v a n iː
opakovaně,ɔ p a k ɔ v a n ɛ
opakovat,ɔ p a k ɔ v a t
opakování,ˈ ʔ ɔ p a k ɔ v aː ɲ iː
opakuje,ʔ ɔ p a k ʊ j ɛ
opal,ɔ p a l
opanovat,ɔ p a n ɔ v a t
opar,ɔ p a r
opasek,o p a s ɛ k
opaskový,ɔ p a s k ɔ v iː
opat,ˈ ɔ p a t
opatek,ɔ p a t ɛ k
opatrnost,ˈ ɔ p a t r̩ n ɔ s t
opatrní,ɔ p a t r̩ ɲ iː
opatrník,ˈ ʔ ɔ p a t r̩ ɲ iː k
opatrný,ˈ ɔ p a t r̩ n iː
opatrně,ˈ ʔ ɔ p a t r ɲ ɛ
opatrnější,ɔ p a t r̩ ɲ ɛ j ʃ iː
opatský,ɔ p a t s k iː
opatství,ɔ p a t͡s t v iː
opatřen,ɔ p a t r̝̊ ɛ n
opatřeni,ɔ p a t r̝̊ ɛ ɲ ɪ
opatření,ˈ ʔ ɔ p a t r̝ ɛ ɲ iː
opatřeními,ʔ ɔ p a t r̝̊ ɛ ɲ iː m ɪ
opatřil,ˈ ʔ ɔ p a t r̝̊ ɪ l
opatřili,ɔ p a t r̝̊ ɪ l ɪ
opatřiv,ɔ p a t r̝̊ ɪ f
opatův,ɔ p a t uː f
opava,ɔ p a v a
opavsko,ɔ p a f s k ɔ
opavský,ˈ ʔ ɔ p a f s k iː
opačný,o p a t͡ʃ n iː
opařan,ʔ ɔ p a r̝ a n
opce,ɔ p t͡s ɛ
opcemi,ɔ p t͡s ɛ m ɪ
opci,ɔ p t͡s ɪ
opcí,ɔ p t͡s iː
opcích,ɔ p t͡s iː x
opcím,ɔ p t͡s iː m
oper,ɔ p ɛ r
opera,ɔ p ɛ r a
operace,ɔ p ɛ r a t͡s ɛ
operaci,ɔ p ɛ r a t͡s ɪ
operační,ɔ p ɛ r a t͡ʃ ɲ iː
operní,ɔ p ɛ r ɲ iː
operou,ɔ p ɛ r ɔ ʊ̯
operovat,ɔ p ɛ r ɔ v a t
operovati,ɔ p e r ɔ v a c ɪ
operu,ɔ p ɛ r ʊ
operátor,ɔ p ɛ r aː t ɔ r
operátorům,ɔ p ɛ r aː t ɔ r uː m
opice,ˈ ʔ ɔ p ɪ t͡s ɛ
opilec,ɔ p ɪ l ɛ t͡s
opilost,ɔ p ɪ l ɔ s t
opilovat,ɔ p ɪ l ɔ v a t
opilý,ɔ p ɪ l iː
opisovač,ɔ p ɪ s ɔ v a t͡ʃ
opisovačka,ɔ p ɪ s ɔ v a t͡ʃ k a
opit,ɔ p ɪ t
opium,ɔ p ɪ j ʊ m
opička,ɔ p ɪ t͡ʃ k a
opičák,ɔ p ɪ t͡ʃ aː k
opičátko,ɔ p ɪ t͡ʃ aː t k ɔ
opičí,ɔ p ɪ t͡ʃ iː
opiš,ˈ ɔ p ɪ ʃ
oplatečník,ˈ ʔ ɔ p l a t ɛ t͡ʃ ɲ iː k
oplatka,ˈ ʔ ɔ p l a t k a
opletka,ɔ p l ɛ t k a
oplocenka,ɔ p l ɔ t͡s ɛ ŋ k a
oplocenky,ɔ p l ɔ t͡s ɛ ŋ k ɪ
opodeldok,ɔ p ɔ d ɛ l d ɔ k
opodál,ɔ p ɔ d aː l
opolský,ɔ p ɔ l s k iː
opolí,ɔ p ɔ l iː
opona,ɔ p ɔ n a
oponent,ɔ p ɔ n ɛ n t
oponují,ɔ p ɔ n ʊ j iː
opora,ɔ p ɔ r a
opornice,ɔ p ɔ r ɲ ɪ t͡s ɛ
oportunismus,ˈ ʔ ɔ p ɔ r t ʊ n ɪ z m ʊ s
opotřebený,ɔ p ɔ t r̝̊ ɛ b ɛ n iː
opouštím,ɔ p ɔ ʊ̯ ʃ c iː m
opouštěje,ɔ p ɔ ʊ̯ ʃ c ɛ j ɛ
opouštěli,ɔ p ɔ ʊ̯ ʃ c ɛ l ɪ
opovrci,ˈ ʔ ɔ p ɔ v r̩ t͡s ɪ
opovrhovat,ɔ p ɔ v r̩ ɦ ɔ v a t
opovrženíhodné,ɔ p ɔ v r̩ ʒ ɛ ɲ iː ɦ ɔ d n ɛː
opovážlivkyně,ɔ p ɔ v aː ʒ l̩ ɪ f k ɪ ɲ ɛ
opozice,ɔ p ɔ z ɪ t͡s ɛ
opozici,ɔ p ɔ z ɪ t͡s ɪ
opozitum,ɔ p ɔ z ɪ t ʊ m
opoziční,ɔ p ɔ z ɪ t͡ʃ ɲ iː
opozičních,ɔ p ɔ z ɪ t͡ʃ ɲ iː x
opozičním,ɔ p ɔ z ɪ t͡ʃ ɲ iː m
oppidum,ɔ p ɪ d ʊ m
oprat,ɔ p r a t
oprati,ɔ p r a c ɪ
oprav,ɔ p r a f
oprava,ɔ p r a v a
opravdový,ɔ p r a v d ɔ v iː
opravdu,ɔ p r a v d ʊ
opravena,ɔ p r a v ɛ n a
opravit,ɔ p r a v ɪ t
opraviti,ɔ p r a v ɪ c ɪ
opravny,ɔ p r a v n ɪ
opravný,ɔ p r a v n iː
opravovat,ɔ p r a v ɔ v a t
opraví,ʔ ɔ p r a v iː
opravě,ɔ p r a v j ɛ
oprať,ɔ p r a c
oproti,ɔ p r ɔ c ɪ
oprám,ɔ p r aː m
oprátka,ˈ ʔ ɔ p r a t k a
oprávněný,ɔ p r aː v ɲ ɛ n iː
oprávněně,ɔ p r aː v ɲ ɛ ɲ ɛ
oprávněnější,ɔ p r aː v ɲ ɛ ɲ ɛ j ʃ iː
opsat,ɔ p s a t
opsati,ɔ p s a c ɪ
opský,ɔ p s k iː
optický,ɔ p t ɪ t͡s k iː
optika,ɔ p t ɪ k a
optimalizovat,ɔ p t ɪ m a l ɪ z ɔ v a t
optimismus,ɔ p t ɪ m ɪ z m ʊ s
optimista,ɔ p t ɪ m ɪ s t a
optimální,ɔ p t ɪ m aː l ɲ iː
opuchnout,ˈ ʔ ɔ p ʊ x n ɔ ʊ̯ t
opukový,ɔ p ʊ k ɔ v iː
opulence,ˈ ɔ p ʊ l ɛ n t͡s ɛ
opulentní,ɔ p ʊ l ɛ n t ɲ iː
opus,ɔ p ʊ s
opustila,ɔ p ʊ s c ɪ l a
opustili,ɔ p ʊ s c ɪ l ɪ
opustilo,ɔ p ʊ s c ɪ l ɔ
opustit,ɔ p ʊ s c ɪ t
opustiv,ɔ p ʊ s c ɪ f
opustivše,ɔ p ʊ s c ɪ f ʃ ɛ
opuštěný,ɔ p ʊ ʃ c ɛ n iː
opuštěným,ɔ p ʊ ʃ c ɛ n iː m
opušťák,ˈ ʔ ɔ p ʊ ʃ c aː k
opylovač,ɔ p ɪ l ɔ v a t͡ʃ
opyluje,ɔ p ɪ l ʊ j ɛ
opyš,ˈ ʔ ɔ p ɪ ʃ
opál,ɔ p aː l
opálka,ɔ p aː l k a
opálový,ɔ p aː l ɔ v iː
opírat,ɔ p iː r a t
opírati,ɔ p iː r a c ɪ
opíšu,ˈ ʔ ɔ p iː ʃ ʊ
oral,ˈ ɔ r a l
orangutan,ɔ r a ŋ ɡ ʊ t a n
oranžové,ɔ r a n ʒ ɔ v ɛː
oranžový,ɔ r a n ʒ ɔ v iː
orat,ɔ r a t
orati,ɔ r a c ɪ
oratorium,ɔ r a t ɔ r ɪ j ʊ m
oratoř,ɔ r a t ɔ r̝̊
orava,ɔ r a v a
oravský,ɔ r a f s k iː
oraz,ˈ ʔ ɔ r a z
orbita,ɔ r b ɪ t a
orchestr,ɔ r x ɛ s t r
orchidej,ɔ r x ɪ d ɛ j
orchideje,ɔ r x ɪ d ɛ j ɛ
orchidejový,ɔ r x ɪ d ɛ j ɔ v iː
orchidejí,ɔ r x ɪ d ɛ j iː
ordinace,ɔ r d ɪ n a t͡s ɛ
ordinací,ɔ r d ɪ n a t͡s iː
ordinuje,ɔ r d ɪ n ʊ j ɛ
ordinář,ɔ r d ɪ n aː r̝̊
oregon,ɔ r ɛ ɡ ɔ n
orel,ɔ r ɛ l
orelský,ɔ r ɛ l s k iː
org,ɔ r k
organela,ɔ r ɡ a n ɛ l a
organického,ɔ r ɡ a n ɪ t͡s k ɛː ɦ ɔ
organický,ɔ r ɡ a n ɪ t͡s k iː
organisace,ɔ r ɡ a n ɪ z a t͡s ɛ
organisme,ɔ r ɡ a n ɪ z m ɛ
organismus,ɔ r ɡ a n ɪ z m ʊ s
organismy,ɔ r ɡ a n ɪ z m ɪ
organismů,ɔ r ɡ a n ɪ z m uː
organizace,ɔ r ɡ a n ɪ z a t͡s ɛ
organizacemi,ɔ r ɡ a n ɪ z a t͡s ɛ m ɪ
organizaci,ɔ r ɡ a n ɪ z a t͡s ɪ
organizací,ɔ r ɡ a n ɪ z a t͡s iː
organizacích,ɔ r ɡ a n ɪ z a t͡s iː x
organizacím,ɔ r ɡ a n ɪ z a t͡s iː m
organizační,ɔ r ɡ a n ɪ z a t͡ʃ ɲ iː
organizmus,ɔ r ɡ a n ɪ z m ʊ s
organizovaný,ɔ r ɡ a n ɪ z ɔ v a n iː
organizují,ɔ r ɡ a n ɪ z ʊ j iː
organizátor,ɔ r ɡ a n ɪ z aː t ɔ r
organizátorů,ɔ r ɡ aː n ɪ z aː t ɔ r uː
organizátorům,ɔ r ɡ aː n ɪ z aː t ɔ r uː m
organizátoři,ɔ r ɡ a n ɪ z aː t ɔ r̝ ɪ
organologie,ɔ r ɡ a n ɔ l ɔ ɡ ɪ j ɛ
orgasmus,ɔ r ɡ a z m ʊ s
orgán,ɔ r ɡ aː n
orientace,ˈ ʔ ɔ r ɪ ɛ n t a t͡s ɛ
orientační,ɔ r ɪ j ɛ n t a t͡ʃ ɲ iː
orientální,ɔ r ɪ ɛ n t aː l ɲ iː
orienťák,ɔ r ɪ j ɛ ɲ c aː k
origami,ɔ r ɪ ɡ a m ɪ
originál,ɔ r ɪ ɡ ɪ n aː l
originální,ɔ r ɪ ɡ ɪ n aː l ɲ iː
originární,ɔ r ɪ ɡ ɪ n aː r ɲ iː
orinoko,ɔ r ɪ n ɔ k ɔ
orion,ɔ r ɪ j ɔ n
orkán,ɔ r k aː n
orlice,ɔ r l ɪ t͡s ɛ
orlickoalbrechtický,ɔ r l̩ ɪ t s k ɔ a l b r ɛ x c ɪ t s k iː
orlickoústecké,ɔ r l ɪ t͡s k ɔ uː s t ɛ t͡s k ɛː
orlickoústecký,ˈ ʔ ɔ r l ɪ t͡s k ɔ ʔ uː s t ɛ t͡s k iː
orloj,ˈ ʔ ɔ r l ɔ j
orlosup,ɔ r l ɔ s ʊ p
orlovna,ɔ r l ɔ v n a
orlovské,ɔ r l ɔ f s k ɛː
orlovský,ɔ r l ɔ f s k iː
orlová,ɔ r l ɔ v aː
orléans,ɔ r l ɛ aː n
orlí,ɔ r l iː
orlíček,ɔ r l iː t͡ʃ ɛ k
ornice,ɔ r ɲ ɪ t͡s ɛ
ornitoložka,ɔ r n ɪ t ɔ l ɔ ʃ k a
orný,ɔ r n iː
oros,ɔ r ɔ s
orsej,ɔ r s ɛ j
ortel,ɔ r t ɛ l
ortodoxní,ɔ r t ɔ d ɔ k s ɲ iː
ortogonální,ɔ r t ɔ ɡ ɔ n aː l ɲ iː
ortopedický,ɔ r t ɔ p ɛ d ɪ t͡s k iː
ortopedie,ˈ ʔ ɔ r t ɔ p ɛ d ɪ j ɛ
ortéza,ɔ r t ɛː z a
orá,ɔ r aː
orál,ɔ r aː l
orální,ɔ r aː l ɲ iː
oráč,ɔ r aː t͡ʃ
oráčský,ɔ r aː t͡ʃ s k iː
oráš,ɔ r aː ʃ
os,ɔ s
osa,ɔ s a
osad,ɔ s a t
osada,ɔ s a d a
osadami,ɔ s a d a m ɪ
osadiv,ɔ s a ɟ ɪ f
osado,ɔ s a d ɔ
osadou,ɔ s a d ɔ ʊ̯
osadu,ɔ s a d ʊ
osady,ɔ s a d ɪ
osadách,ɔ s a d aː x
osadám,ɔ s a d aː m
osadě,ɔ s a ɟ ɛ
osahával,ɔ s a ɦ aː v a l
osamocenému,ɔ s a m ɔ t͡s ɛ n ɛː m ʊ
osazují,ɔ s a z ʊ j iː
oscarového,ɔ s k a r ɔ v ɛː ɦ ɔ
osciloskop,ɔ s t͡s ɪ l ɔ s k ɔ p
oscilátor,ɔ s t͡s ɪ l aː t ɔ r
osel,ɔ s ɛ l
oselmo,ɔ s ɛ l m ɔ
oset,ɔ s ɛ t
osetsky,ɔ s ɛ t͡s k ɪ
osečanek,ʔ ɔ s ɛ t͡ʃ a n ɛ k
osika,ɔ s ɪ k a
osikový,ɔ s ɪ k ɔ v iː
osiřelé,ɔ s ɪ r̝ ɛ l ɛː
osiřelých,ɔ s ɪ r̝ ɛ l iː x
osiřet,ɔ s ɪ r̝ ɛ t
oskar,ɔ s k a r
oslabení,o s l a b ɛ ɲ iː
osladit,ɔ s l a ɟ ɪ t
oslav,ˈ ɔ s l a f
oslava,ɔ s l a v a
oslavenec,ɔ s l a v ɛ n ɛ t͡s
oslavenkyně,ɔ s l a v ɛ ŋ k ɪ ɲ ɛ
oslavila,ɔ s l a v ɪ l a
oslavit,ʔ ɔ s l a v ɪ t
oslavovat,ˈ ʔ ɔ s l a v ɔ v a t
oslavována,ɔ s l a v ɔ v aː n a
oslavu,ɔ s l a v ʊ
oslavujme,ˈ ʔ ɔ s l a v ʊ j m ɛ
oslavy,ɔ s l a v ɪ
oslaví,ɔ s l a v iː
oslavím,ɔ s l a v iː m
oslepnout,ɔ s l ɛ p n ɔ ʊ̯ t
oslice,ɔ s l ɪ t͡s ɛ
oslnit,ʔ ɔ s l ɲ ɪ t
oslo,ɔ s l ɔ
osloský,ɔ s l ɔ s k iː
oslov,ɔ s l ɔ f
oslovení,ˈ ʔ ɔ s l ɔ v ɛ ɲ iː
oslovíme,ɔ s l ɔ v iː m ɛ
oslupět,ˈ ʔ ɔ s l ʊ p j ɛ t
oslyšet,o s l ɪ ʃ ɛ t
oslyšány,ˈ ʔ ɔ s l ɪ ʃ aː n ɪ
oslátko,ɔ s l aː t k ɔ
oslí,ɔ s l iː
oslík,ɔ s l iː k
oslíka,ɔ s l iː k a
oslíky,ɔ s l iː k ɪ
osm,ɔ s m̩
osm,ɔ s ʊ m
osma,ɔ s m a
osmadvacet,ɔ s m a d v a t͡s ɛ t
osmadvacetiletý,ɔ s m a d v a t͡s ɛ c ɪ l ɛ t iː
osmadvacetitunového,ɔ s m a d v a t͡s ɛ c ɪ t ʊ n ɔ v ɛː ɦ ɔ
osmadvacetitunový,ɔ s m a d v a t͡s ɛ c ɪ t ʊ n ɔ v iː
osmaosmdesátiletého,ɔ s m a ɔ s m̩ d ɛ s aː c ɪ l ɛ t ɛː ɦ ɔ
osmaosmdesátiletého,ɔ s m a ɔ s ʊ m d ɛ s aː c ɪ l ɛ t ɛː ɦ ɔ
osmaosmdesátiletý,ɔ s m a ɔ s m̩ d ɛ s aː c ɪ l ɛ t iː
osmaosmdesátiletý,ɔ s m a ɔ s ʊ m d ɛ s aː c ɪ l ɛ t iː
osmapadesátiletý,ɔ s m a p a d ɛ s aː c ɪ l ɛ t iː
osmatřicetiletou,ɔ s m a t r̝̊ ɪ t͡s ɛ c ɪ l ɛ t ɔ ʊ̯
osmatřicetiletému,ɔ s m a t r̝̊ ɪ t͡s ɛ c ɪ l ɛ t ɛː m ʊ
osmatřicetiletý,ɔ s m a t r̝̊ ɪ t͡s ɛ c ɪ l ɛ t iː
osmačtyřicetiletou,ɔ s m a t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ l ɛ t ɔ ʊ̯
osmačtyřicetiletého,ɔ s m a t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ l ɛ t ɛː ɦ ɔ
osmačtyřicetiletý,ɔ s m a t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ l ɛ t iː
osmašedesátník,ˈ ʔ ɔ s m a ʃ ɛ d ɛ s aː t ɲ iː k
osmdesát,ɔ s m d ɛ s aː t
osmdesát,ɔ s ʊ m d ɛ s aː t
osmdesátimetrový,ɔ s m̩ d ɛ s aː c ɪ m ɛ t r ɔ v iː
osmdesátimetrový,ɔ s ʊ m d ɛ s aː c ɪ m ɛ t r ɔ v iː
osmdesátimilionovém,ɔ s m̩ d ɛ s aː c ɪ m ɪ l ɪ j ɔ n ɔ v ɛː m
osmdesátimilionovém,ɔ s ʊ m d ɛ s aː c ɪ m ɪ l ɪ j ɔ n ɔ v ɛː m
osmdesátimilionový,ɔ s m̩ d ɛ s aː c ɪ m ɪ l ɪ j ɔ n ɔ v iː
osmdesátimilionový,ɔ s ʊ m d ɛ s aː c ɪ m ɪ l ɪ j ɔ n ɔ v iː
osmdesátiny,ɔ s m̩ d ɛ s aː c ɪ n ɪ
osmdesátiny,ɔ s ʊ m d ɛ s aː c ɪ n ɪ
osmdesátinám,ɔ s m̩ d ɛ s aː c ɪ n aː m
osmdesátinám,ɔ s ʊ m d ɛ s aː c ɪ n aː m
osmdesátiprocentní,ɔ s m̩ d ɛ s aː c ɪ p r ɔ t͡s ɛ n t ɲ iː
osmdesátiprocentní,ɔ s ʊ m d ɛ s aː c ɪ p r ɔ t͡s ɛ n t ɲ iː
osmdesátičlenné,ɔ s m̩ d ɛ s aː c ɪ t͡ʃ l ɛ n ɛː
osmdesátičlenné,ɔ s ʊ m d ɛ s aː c ɪ t͡ʃ l ɛ n ɛː
osmdesátičlenný,ɔ s m̩ d ɛ s aː c ɪ t͡ʃ l ɛ n iː
osmdesátičlenný,ɔ s ʊ m d ɛ s aː c ɪ t͡ʃ l ɛ n iː
osmdesátý,ɔ s m d ɛ s aː t iː
osmerka,ɔ s m ɛ r k a
osmerče,ɔ s m ɛ r t͡ʃ ɛ
osmidílný,ɔ s m ɪ ɟ iː l n iː
osmifinále,ɔ s m ɪ f ɪ n aː l ɛ
osmihlavý,ɔ s m̩ ɪ ɦ l a v iː
osmijádrový,ɔ s m ɪ j aː d r ɔ v iː
osmiletka,ɔ s m ɪ l ɛ t k a
osmiletou,ɔ s m ɪ l ɛ t ɔ ʊ̯
osmiletá,ɔ s m ɪ l ɛ t aː
osmileté,ɔ s m ɪ l ɛ t ɛː
osmiletého,ɔ s m ɪ l ɛ t ɛː ɦ ɔ
osmiletý,ɔ s m ɪ l ɛ t iː
osmiletým,ɔ s m ɪ l ɛ t iː m
osmina,ɔ s m ɪ n a
osmiprocentní,ɔ s m ɪ p r ɔ t͡s ɛ n t ɲ iː
osmisměrka,ɔ s m ɪ s m ɲ ɛ r k a
osmispřeží,ɔ s d m ɪ s p r̝̊ ɛ ʒ iː
osmistopý,ɔ s m ɪ s t o p iː
osmistup,ɔ s m̩ ɪ s t ʊ p
osmistěn,ɔ s m ɪ s c ɛ n
osmium,ɔ s m ɪ j ʊ m
osmiválec,ɔ s m ɪ v aː l ɛ t͡s
osmiúhelník,ɔ s m̩ ɪ uː ɦ ɛ l ɲ iː k
osmička,ɔ s m ɪ t͡ʃ k a
osmmecítma,ɔ s m̩ m ɛ t͡s iː t m a
osmnáct,ɔ s m n aː t͡s t
osmnáctiletou,ɔ s m̩ n aː t͡s c ɪ l ɛ t ɔ ʊ̯
osmnáctiletou,ɔ s ʊ m n aː t͡s c ɪ l ɛ t ɔ ʊ̯
osmnáctiletá,ɔ s m̩ n aː t͡s c ɪ l ɛ t aː
osmnáctiletý,ɔ s m̩ n aː t͡s c ɪ l ɛ t iː
osmnáctiletý,ɔ s ʊ m n aː t͡s c ɪ l ɛ t iː
osmnáctimetrovém,ɔ s m̩ n aː t͡s c ɪ m ɛ t r ɔ v ɛː m
osmnáctimetrovém,ɔ s ʊ m n aː t͡s c ɪ m ɛ t r ɔ v ɛː m
osmnáctimetrový,ɔ s m̩ n aː t͡s c ɪ m ɛ t r ɔ v iː
osmnáctimetrový,ɔ s ʊ m n aː t͡s c ɪ m ɛ t r ɔ v iː
osmnáctiměsíční,ɔ s m̩ n aː t͡s c ɪ m ɲ ɛ s iː t͡ʃ ɲ iː
osmnáctiměsíční,ɔ s ʊ m n aː t͡s c ɪ m ɲ ɛ s iː t͡ʃ ɲ iː
osmnáctiměsíčního,ɔ s m̩ n aː t͡s c ɪ m ɲ ɛ s iː t͡ʃ ɲ iː ɦ ɔ
osmnáctiměsíčního,ɔ s ʊ m n aː t͡s c ɪ m ɲ ɛ s iː t͡ʃ ɲ iː ɦ ɔ
osmnáctipatrové,ɔ s m̩ n aː t͡s c ɪ p a t r ɔ v ɛː
osmnáctipatrové,ɔ s ʊ m n aː t͡s c ɪ p a t r ɔ v ɛː
osmnáctipatrový,ɔ s m̩ n aː t͡s c ɪ p a t r ɔ v iː
osmnáctipatrový,ɔ s ʊ m n aː t͡s c ɪ p a t r ɔ v iː
osmnáctiúhelník,ɔ s m̩ n aː t s c ɪ uː ɦ ɛ l ɲ iː k
osmnáctka,ɔ s m̩ n aː t͡s t k a
osmnácté,ɔ s m̩ n aː t͡s t ɛː
osmnácté,ɔ s ʊ m n aː t͡s t ɛː
osmnáctý,ɔ s m̩ n aː t͡s t iː
osmnáctý,ɔ s ʊ m n aː t͡s t iː
osmotický,ɔ s m ɔ t ɪ t͡s k iː
osmáci,ɔ s m aː t͡s ɪ
osmák,ɔ s m aː k
osmáků,ɔ s m aː k uː
osmý,ɔ s m iː
osnova,ɔ s n ɔ v a
oso,ɔ s ɔ
osob,ɔ s ɔ p
osoba,ɔ s ɔ b a
osobitý,ɔ s ɔ b ɪ t iː
osoblažský,ɔ s ɔ b l a ʃ s k iː
osobnost,ɔ s ɔ b n ɔ s t
osobnosti,ɔ s ɔ b n ɔ s c ɪ
osobností,ɔ s ɔ b n ɔ s c iː
osobní,ˈ ʔ ɔ s ɔ b ɲ iː
osobního,ɔ s ɔ b ɲ iː ɦ ɔ
osobně,ɔ s ɔ b ɲ ɛ
osobák,ɔ s ɔ b aː k
osol,ɔ s ɔ l
osolený,ɔ s ɔ l ɛ n iː
osový,ˈ ɔ s ɔ v iː
ospalec,ɔ s p a l ɛ t͡s
ospalejší,ɔ s p a l ɛ j ʃ iː
ospalý,ɔ s p a l iː
ospravedlňuje,ɔ s p r a v ɛ d l̩ ɲ ʊ j ɛ
osrdečník,ɔ s r̩ d ɛ t ʃ ɲ iː k
osrdíčkovat,ˈ o s r̩ ɟ iː t͡ʃ k o v a t
ostatky,ɔ s t a t k ɪ
ostatní,ɔ s t a t ɲ iː
ostatních,ʔ ɔ s t a t ɲ iː x
ostatním,ɔ s t a t ɲ iː m
ostatně,ɔ s t a t ɲ ɛ
osteologie,ˈ ʔ ɔ s t ɛ ɔ l ɔ ɡ ɪ j ɛ
osteoporóza,ɔ s t ɛ ɔ p ɔ r ɔː z a
ostnosrstý,ɔ s t n ɔ s r̩ s t iː
ostouzet,ɔ s t ɔ ʊ̯ z ɛ t
ostrahou,ɔ s t r a ɦ ɔ ʊ̯
ostrahu,ɔ s t r a ɦ ʊ
ostrakismus,ˈ ʔ ɔ s t r a k ɪ z m ʊ s
ostrava,ɔ s t r a v a
ostravsko,ɔ s t r a f s k ɔ
ostravské,ɔ s t r a f s k ɛː
ostravský,ɔ s t r a f s k iː
ostravských,ɔ s t r a f s k iː x
ostrev,ɔ s t r ɛ f
ostropestřec,ˈ ɔ s t r ɔ p ɛ s t r̝̊ ɛ t͡s
ostroretka,ɔ s t r ɔ r ɛ t k a
ostrov,ɔ s t r ɔ f
ostrovan,ɔ s t r ɔ v a n
ostrovanka,ɔ s t r ɔ v a ŋ k a
ostrovní,ɔ s t r ɔ v ɲ iː
ostrožanka,ɔ s t r ɔ ʒ a ŋ k a
ostrožka,ɔ s t r ɔ ʃ k a
ostrožský,ɔ s t r ɔ ʃ s k iː
ostruh,ɔ s t r ʊ x
ostruha,ˈ ʔ ɔ s t r ʊ ɦ a
ostruhami,ɔ s t r ʊ ɦ a m ɪ
ostruho,ɔ s t r ʊ ɦ ɔ
ostruhou,ɔ s t r ʊ ɦ ɔ ʊ̯
ostruhový,ɔ s t r ʊ ɦ ɔ v iː
ostruhu,ɔ s t r ʊ ɦ ʊ
ostruhy,ɔ s t r ʊ ɦ ɪ
ostruhách,ɔ s t r ʊ ɦ aː x
ostruhám,ɔ s t r ʊ ɦ aː m
ostrunit,ˈ ʔ ɔ s t r ʊ ɲ ɪ t
ostruním,ˈ ʔ ɔ s t r ʊ ɲ iː m
ostruze,ɔ s t r ʊ z ɛ
ostružina,ɔ s t r ʊ ʒ ɪ n a
ostružinovice,ɔ s t r ʊ ʒ ɪ n ɔ v ɪ t͡s ɛ
ostružinový,ɔ s t r ʊ ʒ ɪ n ɔ v iː
ostružiní,ɔ s t r ʊ ʒ ɪ ɲ iː
ostružiník,ɔ s t r ʊ ʒ ɪ ɲ iː k
ostružiníkový,ɔ s t r ʊ ʒ ɪ ɲ iː k ɔ v iː
ostré,ɔ s t r ɛː
ostrý,ˈ ʔ ɔ s t r iː
ostrůvek,ɔ s t r uː v ɛ k
ostrůvkem,ɔ s t r uː f k ɛ m
ostrůvkovitý,ɔ s t r uː f k ɔ v ɪ t iː
ostrůvkový,ɔ s t r uː f k ɔ v iː
ostrůvku,ɔ s t r uː f k ʊ
ostře,ˈ ʔ ɔ s t r̝̊ ɛ
ostřelovače,ɔ s t r̝̊ ɛ l ɔ v a t͡ʃ ɛ
ostří,ˈ ʔ ɔ s t r̝̊ iː
ostříží,ɔ s t r̝̊ iː ʒ iː
osud,ɔ s ʊ t
osudovou,ʔ ɔ s ʊ d ɔ v ɔ ʊ̯
osudový,ˈ ʔ ɔ s ʊ d ɔ v iː
osudu,ɔ s ʊ d ʊ
osudí,ɔ s ʊ ɟ iː
osuška,ɔ s ʊ ʃ k a
osvobodila,ɔ s v ɔ b ɔ ɟ ɪ l a
osvobodit,ɔ s v ɔ b ɔ ɟ ɪ t
osvobození,ɔ s v ɔ b ɔ z ɛ ɲ iː
osvoboďme,ɔ s v ɔ b ɔ c m ɛ
osvědčený,ɔ s v j ɛ t t͡ʃ ɛ n iː
osvětim,ɔ s v j ɛ c ɪ m
osvětlení,ɔ s v j ɛ t l ɛ ɲ iː
osvětlený,ɔ s v j ɛ t l ɛ n iː
osypky,ɔ s ɪ p k ɪ
osádce,ɔ s aː t t͡s ɛ
osídleno,ɔ s iː d l ɛ n ɔ
otčenáš,ɔ t t͡ʃ ɛ n aː ʃ
otčenášek,ɔ t t͡ʃ ɛ n aː ʃ ɛ k
otčina,ɔ t t ʃ ɪ n a
otčím,ɔ t t͡ʃ iː m
otěhotnět,ɔ c ɛ ɦ ɔ t ɲ ɛ t
ot,ɔ t
otřesena,ɔ t r̝̊ ɛ s ɛ n a
otřeseni,ɔ t r̝̊ ɛ s ɛ ɲ ɪ
otřesný,ˈ ʔ ɔ t r̝̊ ɛ s n iː
otřesy,ɔ t r̝̊ ɛ s ɪ
