ăl,ə l
paseriformă,p a s e r i ˈ f o r m ə
pasetă,p a ˈ s e t ə
pasibil,p a ˈ s i b i l
pasiență,p a s i ˈ e n t͡s ə
pasifloral,p a s i f l o ˈ r a l
pasifloră,p a s i ˈ f l o r ə
pasigrafie,p a s i ɡ r a ˈ f i e
pasimetru,p a s i ˈ m e t r u
pasionalism,p a s i o n a ˈ l i s m
pasionare,p a s i o ˈ n a r e
pasiv,p a ˈ s i v
pasivism,p a s i ˈ v i s m
pasivist,p a s i ˈ v i s t
pasivitate,p a s i v i ˈ t a t e
pasiviza,p a s i v i ˈ z a
pasivizare,p a s i v i ˈ z a r e
pasmant,p a s ˈ m a n t
pasmanterie,p a s m a n t e ˈ r i e
paspartu,p a s p a r ˈ t u
paspoalare,p a s p o̯ a ˈ l a r e
pasport,p a s ˈ p o r t
pasta,ˈ p a s t a
pastel,p a s ˈ t e l
pastelat,p a s t e ˈ l a t
pastelist,p a s t e ˈ l i s t
pasteliza,p a s t e l i ˈ z a
pastelizant,p a s t e l i ˈ z a n t
pastelizare,p a s t e l i ˈ z a r e
pastet,p a s ˈ t e t
pasteurizare,p a s t e u r i ˈ z a r e
pasteurizat,p a s t e u r i ˈ z a t
pasteurizator,p a s t e u r i z a ˈ t o r
pastică,ˈ p a s t i k ə
pastifiant,p a s t i f i ˈ a n t
pastilă,p a s ˈ t i l ə
pastișa,p a s t i ˈ ʃ a
pastișa,p a s ˈ t i ʃ a
pastișare,p a s t i ˈ ʃ a r e
pastișor,p a s t i ˈ ʃ o r
pastișă,p a s ˈ t i ʃ ə
pastor,ˈ p a s t o r
pastoral,p a s t o ˈ r a l
pastoralism,p a s t o r a ˈ l i s m
pastoralizare,p a s t o r a l i ˈ z a r e
pastorală,p a s t o ˈ r a l ə
pastramă,p a s ˈ t r a m ə
pastă,ˈ p a s t ə
pată,ˈ p a t ə
pat,p a t
patacă,p a ˈ t a k ə
patagon,p a t a ˈ ɡ o n
patagonez,p a t a ɡ o ˈ n e z
patagoneză,p a t a ɡ o ˈ n e z ə
patagonă,p a t a ˈ ɡ o n ə
patalama,p a t a l a ˈ m a
pataramă,p a t a ˈ r a m ə
patarațină,p a t a r a ˈ t͡s i n ə
patașcă,p a ˈ t a ʃ k ə
pate,ˈ p a t e
patefon,p a t e ˈ f o n
patemă,p a ˈ t e m ə
patent,p a ˈ t e n t
patenta,p a t e n ˈ t a
patentare,p a t e n ˈ t a r e
patentat,p a t e n ˈ t a t
patentă,p a ˈ t e n t ə
pater,ˈ p a t e r
pateric,p a t e ˈ r i k
paterițe,p a t e ˈ r i t͡s e
pateriță,p a t e ˈ r i t͡s ə
patern,p a ˈ t e r n
paternal,p a t e r ˈ n a l
paternitate,p a t e r n i ˈ t a t e
paternoster,p a t e r ˈ n o s t e r
pateră,p a ˈ t e r ə
patetic,p a ˈ t e t i k
patetism,p a t e ˈ t i s m
patetiza,p a t e t i ˈ z a
patetizare,p a t e t i ˈ z a r e
pateu,p a ˈ t e w
patibar,p a t i ˈ b a r
patibular,p a t i b u ˈ l a r
patimă,p a ˈ t i m ə
patina,p a t i ˈ n a
patina,p a ˈ t i n a
patinaj,p a t i ˈ n a ʒ
patinare,p a t i ˈ n a r e
patinat,p a t i ˈ n a t
patinatoare,p a t i n a ˈ t o̯ a r e
patinator,p a t i n a ˈ t o r
patinoar,p a t i ˈ n o̯ a r
patinoare,p a t i ˈ n o̯ a r e
patinor,p a t i ˈ n o r
patinsonare,p a t i n s o ˈ n a r e
patină,p a ˈ t i n ə
patinări,p a t i ˈ n ə r ʲ
patiserie,p a t i s e ˈ r i e
patisier,p a t i s i ˈ e r
patofiziologie,p a t o f i z i o l o ˈ d ʒ i e
patogen,p a t o ˈ d ʒ e n
patogenetic,p a t o d ʒ e ˈ n e t i k
patogeneză,p a t o d ʒ e ˈ n e z ə
patogenic,p a t o ˈ d ʒ e n i k
patogenie,p a t o d ʒ e ˈ n i j e
patogenitate,p a t o d ʒ e n i ˈ t a t e
patognomonic,p a t o ɡ n o ˈ m o n i k
patolog,p a t o ˈ l o ɡ
patologa,p a t o ˈ l o ɡ a
patologe,p a t o ˈ l o d ʒ e
patologi,p a t o ˈ l o d ʒ ʲ
patologic,p a t o ˈ l o d ʒ i k
patologie,p a t o l o ˈ d ʒ i e
patologist,p a t o l o ˈ d ʒ i s t
patologista,p a t o l o ˈ d ʒ i s t a
patologiste,p a t o l o ˈ d ʒ i s t e
patologistă,p a t o l o ˈ d ʒ i s t ə
patologiști,p a t o l o ˈ d ʒ i ʃ t ʲ
patologă,p a t o ˈ l o ɡ ə
patos,ˈ p a t o s
patrafir,p a t r a ˈ f i r
patrahil,p a t r a ˈ h i l
patrahir,p a t r a ˈ h i r
patria,ˈ p a t r i a
patriarcal,p a t r i a r ˈ k a l
patriarh,p a t r i ˈ a r h
patriarhal,p a t r i a r ˈ h a l
patriarhalism,p a t r i a r h a ˈ l i s m
patriarhalizare,p a t r i a r h a l i ˈ z a r e
patriarhat,p a t r i a r ˈ h a t
patrician,p a t r i t͡ʃ i ˈ a n
patriciană,p a t r i t͡ʃ i ˈ a n ə
patriciat,p a t r i t͡ʃ i ˈ a t
patricid,p a t r i ˈ t͡ʃ i d
patrie,ˈ p a t r i e
patrimonial,p a t r i m o n i ˈ a l
patrimonializare,p a t r i m o n i a l i ˈ z a r e
patrimoniu,p a t r i ˈ m o n j u
patriot,p a t r i ˈ o t
patriotic,p a t r i ˈ o t i k
patriotism,p a t r i o ˈ t i s m
patriotizare,p a t r i o t i ˈ z a r e
patristic,p a ˈ t r i s t i k
patristică,p a ˈ t r i s t i k ə
patriță,p a ˈ t r i t͡s ə
patroană,p a ˈ t r o̯ a n ə
patrocinare,p a t r o t͡ʃ i ˈ n a r e
patroclin,p a t r o ˈ k l i n
patrologie,p a t r o l o ˈ d ʒ i e
patron,p a ˈ t r o n
patrona,p a t r o ˈ n a
patronaj,p a t r o ˈ n a ʒ
patronal,p a t r o ˈ n a l
patronare,p a t r o ˈ n a r e
patronat,p a t r o ˈ n a t
patronim,p a t r o ˈ n i m
patrontaș,p a t r o n ˈ t a ʃ
patrontașcă,p a t r o n ˈ t a ʃ k ə
patru,ˈ p a t r u
patrula,p a t r u ˈ l a
patrulare,p a t r u ˈ l a r e
patrulater,p a t r u l a ˈ t e r
patrulateral,p a t r u l a t e ˈ r a l
patrulă,p a ˈ t r u l ə
patruped,p a t r u ˈ p e d
patruzeci,p a t r u ˈ z e t͡ʃ ʲ
paturi,ˈ p a t u r ʲ
patvagon,p a t v a ˈ ɡ o n
pauperism,p a w p e ˈ r i s m
pauperiza,p a w p e r i ˈ z a
pauperizare,p a u p e r i ˈ z a r e
pava,p a ˈ v a
pava,ˈ p a v a
pavaj,p a ˈ v a ʒ
pavană,p a ˈ v a n ə
pavare,p a ˈ v a r e
pavat,p a ˈ v a t
pavatoare,p a v a ˈ t o̯ a r e
pavator,p a v a ˈ t o r
pavea,p a ˈ v e̯ a
pavecerniță,p a v e ˈ t͡ʃ e r n i t͡s ə
pavela,p a v e ˈ l a
pavelare,p a v e ˈ l a r e
paveluire,p a v e l u ˈ i r e
paveze,p a ˈ v e z e
pavian,p a v i ˈ a n
paviment,p a v i ˈ m e n t
pavlichian,p a v l i k i ˈ a n
pavlichiancă,p a v l i k i ˈ a n k ə
pavlichiană,p a v l i k i ˈ a n ə
pavlovism,p a v l o ˈ v i s m
pavlovist,p a v l o ˈ v i s t
pavlovistă,p a v l o ˈ v i s t ə
pavoaz,p a ˈ v o̯ a z
pavoaza,p a v o̯ ˈ z a
pavoazare,p a v o̯ a ˈ z a r e
pavoazat,p a v o̯ a ˈ z a t
pavor,p a ˈ v o r
pavă,p a ˈ v ə
pavăză,p a ˈ v ə z ə
pazarlâc,p a z a r ˈ l ɨ k
pazarnic,p a ˈ z a r n i k
paze,ˈ p a z e
pazie,ˈ p a z i e
paznic,ˈ p a z n i k
pazvangiu,p a z v a n ˈ d ʒ i w
pazvant,p a z ˈ v a n t
pazvantoglu,p a z v a n ˈ t o ɡ l u
pază,ˈ p a z ə
peș,p e ʃ
peșcheș,p e ʃ ˈ k e ʃ
peșchină,p e ʃ ˈ k i n ə
peșchir,p e ʃ ˈ k i r
peșchiș,p e ʃ ˈ k i ʃ
peșim,p e ˈ ʃ i m
peșin,p e ˈ ʃ i n
pește,ˈ p e ʃ t e
pește-porcesc,ˈ p e ʃ t e p o r ˈ t͡ʃ e s k
pește-țigănesc,ˈ p e ʃ t e t͡s i ɡ ə ˈ n e s k
peștele,ˈ p e ʃ t e l e
peștelui,ˈ p e ʃ t e l u j
peșteman,p e ʃ t e ˈ m a n
peșteră,ˈ p e ʃ t e r ə
pești,ˈ p e ʃ t ʲ
peștii,ˈ p e ʃ t iː
peștilor,ˈ p e ʃ t i l o r
peștiman,p e ʃ t i ˈ m a n
peștișoară,p e ʃ t i ˈ ʃ o̯ a r ə
peștișor,p e ʃ t i ˈ ʃ o r
peți,p e ˈ t͡s i
pețire,p e ˈ t͡s i r e
pețit,p e ˈ t͡s i t
pețitoare,p e t͡s i ˈ t o̯ a r e
pețitor,p e t͡s i ˈ t o r
pețitorie,p e t͡s i t o ˈ r i e
pețitorlâc,p e t͡s i t o r ˈ l ɨ k
pe,p e
peaj,p e ˈ a ʒ
pebegaz,p e b e ˈ ɡ a z
pebrină,p e ˈ b r i n ə
pecari,p e k a ˈ r i
pecari,p e ˈ k a r ʲ
pecarizare,p e k a r i ˈ z a r e
peceneg,p e t͡ʃ e ˈ n e ɡ
pecetar,p e t͡ʃ e ˈ t a r
pecete,ˈ p e t͡ʃ e t e
pecetlui,p e t͡ʃ e t l u ˈ i
pecetluire,p e t͡ʃ e t l u ˈ i r e
pecetluit,p e t͡ʃ e t l u ˈ i t
pechin,p e ˈ k i n
pechinez,p e k i ˈ n e z
peci,p e t͡ʃ ʲ
pecinginos,p e t͡ʃ i n d ʒ i ˈ n o s
pectic,ˈ p e k t i k
pectină,p e k ˈ t i n ə
pectoral,p e k t o ˈ r a l
pectoză,p e k ˈ t o z ə
pecuniar,p e k u n i ˈ a r
pedagog,p e d a ˈ ɡ o ɡ
pedagogic,p e d a ˈ ɡ o d ʒ i k
pedagogie,p e d a ɡ o ˈ d ʒ i e
pedagogism,p e d a ɡ o ˈ d ʒ i s m
pedagogizare,p e d a ɡ o d ʒ i ˈ z a r e
pedagogă,p e d a ˈ ɡ o ɡ ə
pedala,p e d a ˈ l a
pedalare,p e d a ˈ l a r e
pedaler,p e d a ˈ l e r
pedalier,p e d a l i ˈ e r
pedalizare,p e d a l i ˈ z a r e
pedală,p e ˈ d a l ə
pedant,p e ˈ d a n t
pedanterie,p e d a n t e ˈ r i e
pedantesc,p e d a n ˈ t e s k
pedantic,p e ˈ d a n t i k
pedantism,p e d a n ˈ t i s m
pedantă,p e ˈ d a n t ə
pedeapsă,p e ˈ d e̯ a p s ə
pedel,p e ˈ d e l
pedepsi,p e d e p ˈ s i
pedepsibil,p e d e p ˈ s i b i l
pedepsibilitate,p e d e p s i b i l i ˈ t a t e
pedepsire,p e d e p ˈ s i r e
pedepsit,p e d e p ˈ s i t
pedepsitor,p e d e p s i ˈ t o r
pederast,p e d e ˈ r a s t
pederastie,p e d e r a s ˈ t i e
pederaști,p e d e ˈ r a ʃ t ʲ
pedestraș,p e d e s ˈ t r a ʃ
pedestri,p e d e s ˈ t r i
pedestrime,p e d e s ˈ t r i m e
pedestrire,p e d e s ˈ t r i r e
pedestru,p e ˈ d e s t r u
pediatra,p e d i ˈ a t r a
pediatri,p e d i ˈ a t r i
pediatric,p e d i ˈ a t r i k
pediatru,p e d i ˈ a t r u
pediatră,p e d i ˈ a t r ə
pedicel,p e d i ˈ t͡ʃ e l
pedicelat,p e d i t͡ʃ e ˈ l a t
pedichiurist,p e d i k j u ˈ r i s t
pedicul,p e ˈ d i k u l
pedicular,p e d i k u ˈ l a r
pediculat,p e d i k u ˈ l a t
pediculoză,p e d i k u ˈ l o z ə
pedicuță,p e d i ˈ k u t͡s ə
pedigri,p e d i ˈ ɡ r i
pedoclimatic,p e d o k l i ˈ m a t i k
pedofilie,p e d o f i ˈ l i e
pedogenetic,p e d o d ʒ e ˈ n e t i k
pedogeneză,p e d o d ʒ e ˈ n e z ə
pedolog,p e d o ˈ l o ɡ
pedologic,p e d o ˈ l o d ʒ i k
pedologie,p e d o l o ˈ d ʒ i e
pedologă,p e d o ˈ l o ɡ ə
pedometru,p e d o ˈ m e t r u
pedonosologie,p e d o n o s o l o ˈ d ʒ i e
pedosferă,p e d o s ˈ f e r ə
peduncul,p e ˈ d u n k u l
peduncular,p e d u n k u ˈ l a r
pedunculat,p e d u n k u ˈ l a t
pefele,p e f e ˈ l e
pefuga,p e f u ˈ ɡ a
pefugare,p e f u ˈ ɡ a r e
pegamoid,p e ɡ a m o ˈ i d
pegas,ˈ p e ɡ a s
pegmatit,p e ɡ m a ˈ t i t
pegmatită,p e ɡ m a ˈ t i t ə
pegră,ˈ p e ɡ r ə
pehblendă,p e h ˈ b l e n d ə
pehlivan,p e h l i ˈ v a n
pehlivănesc,p e h l i v ə ˈ n e s k
peisagist,p e i s a ˈ d ʒ i s t
peisagistic,p e i s a ˈ d ʒ i s t i k
peisagistică,p e i s a ˈ d ʒ i s t i k ə
peisagistă,p e i s a ˈ d ʒ i s t ə
peisaj,p e i ˈ s a ʒ
pejmă,ˈ p e ʒ m ə
pejorativ,p e ʒ o r a ˈ t i v
peladă,p e ˈ l a d ə
pelagic,p e ˈ l a d ʒ i k
pelagroasă,p e l a ˈ ɡ r o̯ a s ə
pelagros,p e l a ˈ ɡ r o s
pelagrozină,p e l a ɡ r o ˈ z i n ə
pelagră,p e ˈ l a ɡ r ə
pelaj,p e ˈ l a ʒ
pelasg,p e ˈ l a s ɡ
pelasgic,p e ˈ l a s d ʒ i k
pelecan,p e l e ˈ k a n
pelegrin,p e l e ˈ ɡ r i n
pelerin,p e l e ˈ r i n
pelerinaj,p e l e r i ˈ n a ʒ
pelerinuță,p e l e r i ˈ n u t͡s ə
pelerină,p e l e ˈ r i n ə
peletic,p e ˈ l e t i k
peletizare,p e l e t i ˈ z a r e
pelican,p e l i ˈ k a n
pelicanol,p e l i k a ˈ n o l
pelicular,p e l i k u ˈ l a r
peliculogen,p e l i k u l o ˈ d ʒ e n
peliculă,p e l i ˈ k u l ə
pelin,p e ˈ l i n
pelinariță,p e l i ˈ n a r i t͡s ə
pelinaș,p e l i ˈ n a ʃ
pelincă,p e ˈ l i n k ə
peliniță,p e l i ˈ n i t͡s ə
pelinuță,p e l i ˈ n u t͡s ə
pelit,p e ˈ l i t
pelotare,p e l o ˈ t a r e
pelotă,p e ˈ l o t ə
peltat,p e l ˈ t a t
peltea,p e l ˈ t e̯ a
peltic,p e l ˈ t i k
pelticeală,p e l t i ˈ t͡ʃ e̯ a l ə
peltici,p e l t i ˈ t͡ʃ i
pelticie,p e l t i ˈ t͡ʃ i e
pelticire,p e l t i ˈ t͡ʃ i r e
pelticăire,p e l t i k ə ˈ i r e
pelticărie,p e l t i k ə ˈ r i e
peltinerv,p e l t i ˈ n e r v
peluză,p e ˈ l u z ə
pelvectomie,p e l v e k t o ˈ m i e
pelvian,p e l v i ˈ a n
pelvigrafie,p e l v i ɡ r a ˈ f i e
pelvimetrie,p e l v i m e ˈ t r i e
pelvimetru,p e l v i ˈ m e t r u
pelviperitonită,p e l v i p e r i t o ˈ n i t ə
pelvis,ˈ p e l v i s
pelvitomie,p e l v i t o ˈ m i e
pembe,ˈ p e m b e
pemfigus,p e m ˈ f i ɡ u s
pempant,p e m ˈ p a n t
penă,ˈ p e n ə
pena,p e ˈ n a
penaj,p e ˈ n a ʒ
penal,p e ˈ n a l
penalicește,p e n a l i ˈ t͡ʃ e ʃ t e
penalist,p e n a ˈ l i s t
penalistă,p e n a ˈ l i s t ə
penalitate,p e n a l i ˈ t a t e
penaliza,p e n a l i ˈ z a
penalizare,p e n a l i ˈ z a r e
penalizator,p e n a l i z a ˈ t o r
penalizație,p e n a l i ˈ z a t͡s i e
penalmente,p e n a l ˈ m e n t e
penar,p e ˈ n a r
penare,p e ˈ n a r e
penat,p e ˈ n a t
penați,p e ˈ n a t͡s ʲ
pendinte,p e n ˈ d i n t e
pendul,p e n ˈ d u l
pendula,p e n d u ˈ l a
pendular,p e n d u ˈ l a r
pendulare,p e n d u ˈ l a r e
pendularist,p e n d u l a ˈ r i s t
pendulă,p e n ˈ d u l ə
penel,p e ˈ n e l
peneplenizare,p e n e p l e n i ˈ z a r e
peneplenă,p e n e ˈ p l e n ə
penet,p e ˈ n e t
penetra,p e n e ˈ t r a
penetrabil,p e n e ˈ t r a b i l
penetrabilitate,p e n e t r a b i l i ˈ t a t e
penetrant,p e n e ˈ t r a n t
penetranță,p e n e ˈ t r a n t͡s ə
penetrare,p e n e ˈ t r a r e
penetrație,p e n e ˈ t r a t͡s i e
penetrometru,p e n e t r o ˈ m e t r u
peni,ˈ p e n i
penibil,p e ˈ n i b i l
penicilinază,p e n i t͡ʃ i l i ˈ n a z ə
penicilinorezistență,p e n i t͡ʃ i l i n o r e z i s ˈ t e n t͡s ə
penicilinoterapie,p e n i t͡ʃ i l i n o t e r a ˈ p i e
penicilină,p e n i t͡ʃ i ˈ l i n ə
penin,p e ˈ n i n
peninsular,p e n i n s u ˈ l a r
peninsule,p e ˈ n i n s u l e
peninsulă,p e ˈ n i n s u l ə
penis,ˈ p e n i s
penisul,ˈ p e n i s u l
penisului,ˈ p e n i s u l u j
penisuri,ˈ p e n i s u r ʲ
penitenciar,p e n i t e n t͡ʃ i ˈ a r
penitent,p e n i ˈ t e n t
penitentă,p e n i ˈ t e n t ə
penitență,p e n i ˈ t e n t͡s ə
penișoară,p e n i ˈ ʃ o̯ a r ə
peniță,p e ˈ n i t͡s ə
pensa,p e n ˈ s a
pensare,p e n ˈ s a r e
pensetă,p e n ˈ s e t ə
pensioară,p e n s i ˈ o̯ a r ə
pensionare,p e n s i o ˈ n a r e
pensionară,p e n s i o ˈ n a r ə
pensiuni,p e n s i ˈ u n ʲ
pensula,p e n s u ˈ l a
pensula,ˈ p e n s u l a
pensulare,p e n s u ˈ l a r e
pensulație,p e n s u ˈ l a t͡s i e
pensule,ˈ p e n s u l e
pensulă,ˈ p e n s u l ə
pensă,ˈ p e n s ə
pentaclorură,p e n t a k l o ˈ r u r ə
pentacord,p e n t a ˈ k o r d
pentadactil,p e n t a d a k ˈ t i l
pentadactilă,p e n t a d a k ˈ t i l ə
pentadecagon,p e n t a d e k a ˈ ɡ o n
pentadă,p e n ˈ t a d ə
pentaedru,p e n t a ˈ e d r u
pentagon,p e n t a ˈ ɡ o n
pentagonal,p e n t a ɡ o ˈ n a l
pentagramă,p e n t a ˈ ɡ r a m ə
pentagrilă,p e n t a ˈ ɡ r i l ə
pentametru,p e n t a ˈ m e t r u
pentan,p e n ˈ t a n
pentanol,p e n t a ˈ n o l
pentapetală,p e n t a p e ˈ t a l ə
pentasepal,p e n t a s e ˈ p a l
pentasilabic,p e n t a s i ˈ l a b i k
pentateuh,p e n t a t e ˈ u h
pentatlon,p e n t a ˈ t l o n
pentatlonist,p e n t a t l o ˈ n i s t
pentatloniste,p e n t a t l o ˈ n i s t e
pentatlonistă,p e n t a t l o ˈ n i s t ə
pentatloniști,p e n t a t l o ˈ n i ʃ t ʲ
pentatonic,p e n t a ˈ t o n i k
pentavalent,p e n t a v a ˈ l e n t
pentazol,p e n t a ˈ z o l
penticostal,p e n t i k o s ˈ t a l
penticostală,p e n t i k o s ˈ t a l ə
penticostar,p e n t i k o s ˈ t a r
pentodă,p e n ˈ t o d ə
pentozurie,p e n t o z u ˈ r i e
pentoză,p e n ˈ t o z ə
pentru,ˈ p e n t r u
penultim,p e ˈ n u l t i m
penumbră,p e n ˈ u m b r ə
penuria,p e ˈ n u r i a
penurie,p e ˈ n u r i e
peonaj,p e o ˈ n a ʒ
pepenar,p e p e ˈ n a r
pepenaș,p e p e ˈ n a ʃ
pepene,p e ˈ p e n e
pepeni,p e ˈ p e n ʲ
pepeniște,p e p e ˈ n i ʃ t e
pepenoi,p e p e ˈ n o j
pepenos,p e p e ˈ n o s
pepenărie,p e p e n ə ˈ r i e
pepinierie,p e p i n i e ˈ r i e
pepinierist,p e p i n i e ˈ r i s t
pepinieră,p e p i n i ˈ e r ə
pepit,p e ˈ p i t
pepita,p e ˈ p i t a
pepită,p e ˈ p i t ə
peplu,ˈ p e p l u
peplum,ˈ p e p l u m
pepsic,ˈ p e p s i k
pepsină,p e p ˈ s i n ə
peptidază,p e p t i ˈ d a z ə
peptidă,p e p ˈ t i d ə
peptizant,p e p t i ˈ z a n t
peptizare,p e p t i ˈ z a r e
peptonurie,p e p t o n u ˈ r i e
peptonă,p e p ˈ t o n ə
perș,p e r ʃ
per,p e r
peracid,p e r a ˈ t͡ʃ i d
percaină,p e r k a ˈ i n ə
percal,p e r ˈ k a l
percalină,p e r k a ˈ l i n ə
percepe,p e r ˈ t͡ʃ e p e
percepere,p e r ˈ t͡ʃ e p e r e
perceptibil,p e r t͡ʃ e p ˈ t i b i l
perceptibilitate,p e r t͡ʃ e p t i b i l i ˈ t a t e
perceptiv,p e r t͡ʃ e p ˈ t i v
perceptor,p e r t͡ʃ e p ˈ t o r
perceptorial,p e r t͡ʃ e p t o r i ˈ a l
percepție,p e r ˈ t͡ʃ e p t͡s i e
percheziție,p e r k e ˈ z i t͡s i e
percheziționare,p e r k e z i t͡s i o ˈ n a r e
perchiziție,p e r k i ˈ z i t͡s i e
perchiziționare,p e r k i z i t͡s i o ˈ n a r e
percică,p e r ˈ t͡ʃ i k ə
perciunare,p e r t͡ʃ j u ˈ n a r e
perclorat,p e r k l o ˈ r a t
percolare,p e r k o ˈ l a r e
percuta,p e r k u ˈ t a
percutant,p e r k u ˈ t a n t
percutare,p e r k u ˈ t a r e
percutor,p e r k u ˈ t o r
percuție,p e r ˈ k u t͡s i e
percuționist,p e r k u t͡s i o ˈ n i s t
percăire,p e r k ə ˈ i r e
perdaf,p e r ˈ d a f
perdelire,p e r d e ˈ l i r e
perdelui,p e r d e l u ˈ i
perdeluire,p e r d e l u ˈ i r e
perdeluit,p e r d e l u ˈ i t
perdeluță,p e r d e ˈ l u t͡s ə
perdiție,p e r ˈ d i t͡s i e
perdăfui,p e r d ə f u ˈ i
perdăfuire,p e r d ə f u ˈ i r e
pereche,p e ˈ r e k e
peregrin,p e r e ˈ ɡ r i n
peregrina,p e r e ɡ r i ˈ n a
peregrinaj,p e r e ɡ r i ˈ n a ʒ
peregrinare,p e r e ɡ r i ˈ n a r e
peregrinație,p e r e ɡ r i ˈ n a t͡s i e
peremptoriu,p e r e m p ˈ t o r j u
peren,p e ˈ r e n
perenitate,p e r e n i ˈ t a t e
perenizare,p e r e n i ˈ z a r e
perete,p e ˈ r e t e
pereu,p e ˈ r e w
perfect,p e r ˈ f e k t
perfecta,p e r f e k ˈ t a
perfectare,p e r f e k ˈ t a r e
perfectibil,p e r f e k ˈ t i b i l
perfectibilitate,p e r f e k t i b i l i ˈ t a t e
perfectiv,p e r f e k ˈ t i v
perfectiviza,p e r f e k t i v i ˈ z a
perfectivizare,p e r f e k t i v i ˈ z a r e
perfectivizat,p e r f e k t i v i ˈ z a t
perfectiza,p e r f e k t i ˈ z a
perfectizare,p e r f e k t i ˈ z a r e
perfecție,p e r ˈ f e k t͡s i e
perfecționare,p e r f e k t͡s i o ˈ n a r e
perfecționism,p e r f e k t͡s i o ˈ n i s m
perfecționist,p e r f e k t͡s i o ˈ n i s t
perfid,p e r ˈ f i d
perfoliat,p e r f o l i ˈ a t
perfora,p e r f o ˈ r a
perforaj,p e r f o ˈ r a ʒ
perforant,p e r f o ˈ r a n t
perforare,p e r f o ˈ r a r e
perforat,p e r f o ˈ r a t
perforatoare,p e r f o r a ˈ t o̯ a r e
perforator,p e r f o r a ˈ t o r
perforație,p e r f o ˈ r a t͡s i e
performanță,p e r f o r ˈ m a n t͡s ə
perfuzare,p e r f u ˈ z a r e
perfuzie,p e r ˈ f u z i e
perfuzor,p e r f u ˈ z o r
pergament,p e r ɡ a ˈ m e n t
pergamentos,p e r ɡ a m e n ˈ t o s
pergamut,p e r ɡ a ˈ m u t
perghel,p e r ˈ ɡ e l
pergheluire,p e r ɡ e l u ˈ i r e
pergolă,p e r ˈ ɡ o l ə
perhidrol,p e r h i ˈ d r o l
periș,p e ˈ r i ʃ
perișoare,p e r i ˈ ʃ o̯ a r e
perișoară,p e r i ˈ ʃ o̯ a r ə
perișor,p e r i ˈ ʃ o r
peri,ˈ p e r ʲ
peria,p e r i ˈ a
periant,p e r i ˈ a n t
periarterită,p e r i a r t e ˈ r i t ə
periartrită,p e r i a r ˈ t r i t ə
periat,p e r i ˈ a t
peribol,p e r i ˈ b o l
peribronșită,p e r i b r o n ˈ ʃ i t ə
pericard,p e r i ˈ k a r d
pericardic,p e r i ˈ k a r d i k
pericardită,p e r i k a r ˈ d i t ə
pericarp,p e r i ˈ k a r p
pericarpatic,p e r i k a r ˈ p a t i k
pericentru,p e r i ˈ t͡ʃ e n t r u
periciclu,p e r i ˈ t͡ʃ i k l u
pericistită,p e r i t͡ʃ i s ˈ t i t ə
periclaz,p e r i ˈ k l a z
periclin,p e r i ˈ k l i n
periclinal,p e r i k l i ˈ n a l
periclinic,p e r i ˈ k l i n i k
periclisire,p e r i k l i ˈ s i r e
periclita,p e r i k l i ˈ t a
periclitant,p e r i k l i ˈ t a n t
periclitare,p e r i k l i ˈ t a r e
periclitate,p e r i k l i ˈ t a t e
pericol,p e ˈ r i k o l
pericolare,p e r i k o ˈ l a r e
pericolarisire,p e r i k o l a r i ˈ s i r e
pericolecistită,p e r i k o l e t͡ʃ i s ˈ t i t ə
pericolită,p e r i k o ˈ l i t ə
pericolpită,p e r i k o l ˈ p i t ə
pericopă,p e r i ˈ k o p ə
pericranian,p e r i k r a n i ˈ a n
periculos,p e r i k u ˈ l o s
periculozitate,p e r i k u l o z i ˈ t a t e
periderm,p e r i ˈ d e r m
peridot,p e r i ˈ d o t
peridotit,p e r i d o ˈ t i t
peridotită,p e r i d o ˈ t i t ə
peridrom,p e r i ˈ d r o m
perie,ˈ p e r i e
periegeză,p e r i e ˈ d ʒ e z ə
perier,p e r i ˈ e r
periere,p e r i ˈ e r e
perierie,p e r i e ˈ r i e
perieră,p e r i ˈ e r ə
perietor,p e r i e ˈ t o r
perietură,p e r i e ˈ t u r ə
periferic,p e r i ˈ f e r i k
periferie,p e r i f e ˈ r i e
periferizare,p e r i f e r i ˈ z a r e
periflebită,p e r i f l e ˈ b i t ə
perifrastic,p e r i ˈ f r a s t i k
perifraza,p e r i f r a ˈ z a
perifrazare,p e r i f r a ˈ z a r e
perifrază,p e r i ˈ f r a z ə
perigeu,p e r i ˈ d ʒ e w
periglaciar,p e r i ɡ l a t͡ʃ i ˈ a r
perigon,p e r i ˈ ɡ o n
perihelie,p e r i h e ˈ l i e
perilimfatic,p e r i l i m ˈ f a t i k
perilimfă,p e r i ˈ l i m f ə
perima,p e r i ˈ m a
perimare,p e r i ˈ m a r e
perimaritim,p e r i m a ˈ r i t i m
perimat,p e r i ˈ m a t
perimet,p e r i ˈ m e t
perimetral,p e r i m e ˈ t r a l
perimetric,p e r i ˈ m e t r i k
perimetru,p e r i ˈ m e t r u
perimontan,p e r i m o n ˈ t a n
perinda,p e r i n ˈ d a
perindare,p e r i n ˈ d a r e
perinefrită,p e r i n e ˈ f r i t ə
perinerv,p e r i ˈ n e r v
perineu,p e r i ˈ n e w
perinevrită,p e r i n e ˈ v r i t ə
periniță,p e r i ˈ n i t͡s ə
perinoc,p e r i ˈ n o k
perintrol,p e r i n ˈ t r o l
